Date,Text,Type
2026-06,"New paper accepted in CAAI Transactions on Intelligence Technology (Wiley) — RES-AD: An AutoML-Driven Robust Ensemble Framework for Real-Time Anomaly Detection and Energy Forecasting in Smart Grids",Publication
2026-06,"New paper accepted in Advanced Intelligent Systems (Wiley) — Enhanced Monocular Depth Estimation Using ResNet Backbone and Multiscale Feature Decoding for Precise Object Distance Measurement",Publication
2026-05,"Paper accepted in Materials & Design (Elsevier) — Multi-Model ML Framework for BaTiO3 Ceramics",Publication

